19750,6014,7577,22308
19738,6001,7590,22331
19738,6001,7590,22331
19734,5965,7606,22357
19727,5957,7611,22367
19727,5957,7611,22367
19727,5957,7611,22367
19720,5946,7622,22384
19720,5946,7622,22384
19703,5916,7644,22408
19691,5897,7656,22410
19691,5897,7656,22410
19681,5882,7674,22409
19681,5882,7674,22409
19681,5882,7674,22409
19679,5871,7686,22424
19672,5866,7695,22437
19670,5852,7697,22440
19667,5849,7700,22454
19662,5854,7705,22460
19658,5849,7716,22471
19658,5849,7716,22471
19645,5847,7716,22465
19640,5826,7731,22466
19640,5826,7731,22466
19640,5826,7731,22466
19639,5828,7734,22469
19633,5821,7737,22475
19633,5821,7737,22475
19635,5816,7755,22465
19635,5816,7755,22465
19629,5802,7768,22449
19629,5802,7768,22449
19642,5799,7780,22439
19645,5791,7807,22420
19645,5791,7807,22420
19645,5791,7807,22420
19645,5791,7807,22420
19640,5787,7814,22419
19640,5787,7814,22419
19640,5787,7814,22419
19639,5782,7828,22408
19639,5782,7828,22408
19651,5787,7836,22379
19651,5792,7833,22375
19652,5789,7838,22371
19670,5801,7832,22364
19670,5801,7832,22364
19683,5803,7818,22360
19683,5803,7818,22360
19691,5815,7808,22356
19712,5820,7813,22345
19730,5829,7796,22324
19736,5833,7791,22319
19745,5830,7773,22307
19746,5835,7766,22309
19746,5835,7766,22309
19759,5828,7765,22299
19754,5833,7764,22300
19756,5832,7760,22295
19761,5831,7754,22295
19763,5832,7760,22295
19763,5832,7760,22295
19765,5830,7754,22301
19768,5834,7755,22299
19764,5832,7755,22297
19767,5836,7752,22299
19768,5836,7759,22308
19768,5836,7759,22308
19774,5838,7763,22307
19774,5838,7763,22307
19759,5836,7761,22314
19764,5835,7761,22320
19756,5837,7759,22318
19756,5837,7759,22318
19756,5837,7759,22318
19756,5837,7759,22318
19754,5836,7757,22325
19749,5836,7762,22327
19743,5834,7757,22326
19743,5834,7757,22326
19734,5842,7763,22332
19734,5842,7763,22332
19733,5834,7755,22328
19729,5844,7762,22341
19729,5844,7762,22341
19719,5844,7751,22346
19719,5844,7751,22346
19719,5844,7751,22346
19711,5836,7754,22349
19714,5851,7756,22356
19704,5844,7749,22352
19704,5844,7749,22352
19704,5844,7749,22352
19704,5844,7749,22352
19701,5850,7750,22363
19701,5851,7743,22363
19699,5850,7744,22373
19702,5854,7739,22371
19702,5854,7739,22371
19702,5854,7739,22371
19691,5849,7743,22383
19691,5849,7743,22383
19689,5844,7735,22386
19686,5849,7734,22394
19685,5853,7724,22394
19685,5853,7724,22394
19685,5853,7724,22394
19685,5853,7724,22394
19682,5845,7721,22411
